Date,Description,Amount (EUR),IBAN
2023-08-20,Invoice Payment, -50.00,DE2312344567890123456789
2023-08-27,Salary, 2500.00,DE2312344567890123456789
2023-09-01,Transfer to Global Investments Ltd., -5000.00,DE2312344567890123456789
2023-09-08,Regular Expenses, -200.00,DE2312344567890123456789
2023-09-15,Transfer to Global Investments Ltd., -8000.00,DE2312344567890123456789
2023-09-22,Online Purchase, -75.00,DE2312344567890123456789
2023-09-29,Transfer to Global Investments Ltd., -2000.00,DE2312344567890123456789
2023-10-06,Salary, 2500.00,DE2312344567890123456789
2023-10-13,Transfer to Global Investments Ltd., -3000.00,DE2312344567890123456789
2023-10-20,Regular Expenses, -250.00,DE2312344567890123456789
