Date,Description,Amount,Currency,IBAN
2023-07-10,Monthly Income,10000.00,CAD,
2023-07-20,Groceries,200.00,CAD,
2023-08-01,Online Transfer - Innovative AIX,5000.00,CAD,BG12BNB37110123456789
2023-08-15,Utilities,300.00,CAD,
2023-09-05,Online Transfer - Innovative AIX,3000.00,CAD,BG12BNB37110123456789
2023-09-20,Restaurant,150.00,CAD,
2023-10-05,Online Transfer - Innovative AIX,3000.00,CAD,BG12BNB37110123456789
2023-10-15,Travel Expenses,500.00,CAD,
2023-11-05,Online Transfer - Innovative AIX,3000.00,CAD,BG12BNB37110123456789
2023-11-10,Mortgage Payment,2000.00,CAD,
2024-01-15,Withdrawal Request - Denied,,-CAD,BG12BNB37110123456789
